company,avg
koreaventureinvestmentcorp,64251538.0
hawkfilms,32008687.0
peregrineproductions,32008687.0
vrmumble2productionsptyltd,64006466.0
citylight,63895607.0
prominentfeatures,31746500.0
topic,7883805.625
michaelsgoldwyn,21005569.666666668
silvertonguefilms,31324180.5
versatilcinema,20870408.333333332
franchisepictures,20864824.0
smokewoodentertainmentgroup,20860058.0
gambitpictures,62495645.0
electricshepherd,62495645.0
blackfriarsbridge,31056079.5
chartoffproductionsinc,30950363.5
friendlyfilms,15450740.5
taleswapper,61737191.0
studio8,15398672.25
alliedstarsltd,61558162.0
radicalmedia,6819965.888888889
richarddzanuckscottrudinproduction,61322858.0
caromcleod,61280963.0
boxingcat,61123569.0
838productions,61002302.0
uniquefeatures,30456512.0
gbase,10119180.333333334
paulschiffproductions,15152001.25
epicproductions,12113727.6
joewizan,60527873.0
newlegacyfilm,30248811.0
hurwitzschlossbergproductions,60311495.0
lichtmuellerfilmcorp,60240295.0
mediapro,10018607.666666666
stanleykubrickproductions,59936321.0
bonafide,59891098.0
upperroomentertainmentlimited,59874525.0
goldcircleentertainment,29847088.0
bergmandel,59650222.0
gothicaproductionsinc,59588068.0
patheproduction,19792549.333333332
allsparkpictures,9869042.0
pranastudios,59157732.0
imaginefilms,58883840.0
chockstonepictures,14679837.0
birdie,58715510.0
flashpointentertainment,58709717.0
squareenixbusiness,29260391.5
leecaplin,29099487.5
